"","workerid","trial_type","type","response","language","enjoyment","gender","age","problems","comments","asses","fairprice","education","OS","screenH","screenW","Browser","hitid","hittypeid","title","description","keywords","reward","creationtime","assignments","numavailable","numpending","numcomplete","hitstatus","reviewstatus","annotation","assignmentduration","autoapprovaldelay","hitlifetime","viewhit","assignmentid","workerid.1","assignmentstatus","autoapprovaltime","assignmentaccepttime","assignmentsubmittime","assignmentapprovaltime","assignmentrejecttime","deadline","feedback","reject","Answer.catch_trials","Answer.order","Answer.condition","Answer.time_in_minutes"
"1",0,"""one_slider""","""filler""",0.81,"""English""","""1""","""Female""","""24""","""no""","""Sentence STructure and meaning ""","""Yes""",""".20""","""3""","""Windows""",1080,1920,"""Chrome""","""3TLFH2L6Y9NYQKU6TDRYQPMOEKG2TL""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.15""","""Fri Apr 27 09:51:12 PDT 2018""","""120""","""0""","""0""","""120""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun May 27 09:51:12 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3TLFH2L6Y9NYQKU6TDRYQPMOEKG2TL""","""3WSELTNVR41QI7N4WUPFKQ09YWSTA2""",0,"""Approved""","""Sat Apr 28 02:33:35 PDT 2018""","""Fri Apr 27 09:51:33 PDT 2018""","""Fri Apr 27 09:53:35 PDT 2018""","""Sat Apr 28 02:33:39 PDT 2018""","""""","""""","""""","""""","""[]""","""\""4fillerspacing\""""","""\""or_andprime\""""","""1.9382666666666666"""
"2",0,"""one_slider""","""filler""",0.84,"""English""","""1""","""Female""","""24""","""no""","""Sentence STructure and meaning ""","""Yes""",""".20""","""3""","""Windows""",1080,1920,"""Chrome""","""3TLFH2L6Y9NYQKU6TDRYQPMOEKG2TL""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.15""","""Fri Apr 27 09:51:12 PDT 2018""","""120""","""0""","""0""","""120""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun May 27 09:51:12 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3TLFH2L6Y9NYQKU6TDRYQPMOEKG2TL""","""3WSELTNVR41QI7N4WUPFKQ09YWSTA2""",0,"""Approved""","""Sat Apr 28 02:33:35 PDT 2018""","""Fri Apr 27 09:51:33 PDT 2018""","""Fri Apr 27 09:53:35 PDT 2018""","""Sat Apr 28 02:33:39 PDT 2018""","""""","""""","""""","""""","""[]""","""\""4fillerspacing\""""","""\""or_andprime\""""","""1.9382666666666666"""
"3",0,"""one_slider""","""filler""",1,"""English""","""1""","""Female""","""24""","""no""","""Sentence STructure and meaning ""","""Yes""",""".20""","""3""","""Windows""",1080,1920,"""Chrome""","""3TLFH2L6Y9NYQKU6TDRYQPMOEKG2TL""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.15""","""Fri Apr 27 09:51:12 PDT 2018""","""120""","""0""","""0""","""120""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun May 27 09:51:12 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3TLFH2L6Y9NYQKU6TDRYQPMOEKG2TL""","""3WSELTNVR41QI7N4WUPFKQ09YWSTA2""",0,"""Approved""","""Sat Apr 28 02:33:35 PDT 2018""","""Fri Apr 27 09:51:33 PDT 2018""","""Fri Apr 27 09:53:35 PDT 2018""","""Sat Apr 28 02:33:39 PDT 2018""","""""","""""","""""","""""","""[]""","""\""4fillerspacing\""""","""\""or_andprime\""""","""1.9382666666666666"""
"4",0,"""one_slider""","""filler""",0.98,"""English""","""1""","""Female""","""24""","""no""","""Sentence STructure and meaning ""","""Yes""",""".20""","""3""","""Windows""",1080,1920,"""Chrome""","""3TLFH2L6Y9NYQKU6TDRYQPMOEKG2TL""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.15""","""Fri Apr 27 09:51:12 PDT 2018""","""120""","""0""","""0""","""120""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun May 27 09:51:12 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3TLFH2L6Y9NYQKU6TDRYQPMOEKG2TL""","""3WSELTNVR41QI7N4WUPFKQ09YWSTA2""",0,"""Approved""","""Sat Apr 28 02:33:35 PDT 2018""","""Fri Apr 27 09:51:33 PDT 2018""","""Fri Apr 27 09:53:35 PDT 2018""","""Sat Apr 28 02:33:39 PDT 2018""","""""","""""","""""","""""","""[]""","""\""4fillerspacing\""""","""\""or_andprime\""""","""1.9382666666666666"""
"5",0,"""one_slider""","""prime""",0.03,"""English""","""1""","""Female""","""24""","""no""","""Sentence STructure and meaning ""","""Yes""",""".20""","""3""","""Windows""",1080,1920,"""Chrome""","""3TLFH2L6Y9NYQKU6TDRYQPMOEKG2TL""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.15""","""Fri Apr 27 09:51:12 PDT 2018""","""120""","""0""","""0""","""120""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun May 27 09:51:12 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3TLFH2L6Y9NYQKU6TDRYQPMOEKG2TL""","""3WSELTNVR41QI7N4WUPFKQ09YWSTA2""",0,"""Approved""","""Sat Apr 28 02:33:35 PDT 2018""","""Fri Apr 27 09:51:33 PDT 2018""","""Fri Apr 27 09:53:35 PDT 2018""","""Sat Apr 28 02:33:39 PDT 2018""","""""","""""","""""","""""","""[]""","""\""4fillerspacing\""""","""\""or_andprime\""""","""1.9382666666666666"""
"6",0,"""one_slider""","""filler""",0.96,"""English""","""1""","""Female""","""24""","""no""","""Sentence STructure and meaning ""","""Yes""",""".20""","""3""","""Windows""",1080,1920,"""Chrome""","""3TLFH2L6Y9NYQKU6TDRYQPMOEKG2TL""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.15""","""Fri Apr 27 09:51:12 PDT 2018""","""120""","""0""","""0""","""120""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun May 27 09:51:12 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3TLFH2L6Y9NYQKU6TDRYQPMOEKG2TL""","""3WSELTNVR41QI7N4WUPFKQ09YWSTA2""",0,"""Approved""","""Sat Apr 28 02:33:35 PDT 2018""","""Fri Apr 27 09:51:33 PDT 2018""","""Fri Apr 27 09:53:35 PDT 2018""","""Sat Apr 28 02:33:39 PDT 2018""","""""","""""","""""","""""","""[]""","""\""4fillerspacing\""""","""\""or_andprime\""""","""1.9382666666666666"""
"7",0,"""one_slider""","""filler""",0.86,"""English""","""1""","""Female""","""24""","""no""","""Sentence STructure and meaning ""","""Yes""",""".20""","""3""","""Windows""",1080,1920,"""Chrome""","""3TLFH2L6Y9NYQKU6TDRYQPMOEKG2TL""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.15""","""Fri Apr 27 09:51:12 PDT 2018""","""120""","""0""","""0""","""120""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun May 27 09:51:12 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3TLFH2L6Y9NYQKU6TDRYQPMOEKG2TL""","""3WSELTNVR41QI7N4WUPFKQ09YWSTA2""",0,"""Approved""","""Sat Apr 28 02:33:35 PDT 2018""","""Fri Apr 27 09:51:33 PDT 2018""","""Fri Apr 27 09:53:35 PDT 2018""","""Sat Apr 28 02:33:39 PDT 2018""","""""","""""","""""","""""","""[]""","""\""4fillerspacing\""""","""\""or_andprime\""""","""1.9382666666666666"""
"8",0,"""one_slider""","""filler""",0.61,"""English""","""1""","""Female""","""24""","""no""","""Sentence STructure and meaning ""","""Yes""",""".20""","""3""","""Windows""",1080,1920,"""Chrome""","""3TLFH2L6Y9NYQKU6TDRYQPMOEKG2TL""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.15""","""Fri Apr 27 09:51:12 PDT 2018""","""120""","""0""","""0""","""120""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun May 27 09:51:12 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3TLFH2L6Y9NYQKU6TDRYQPMOEKG2TL""","""3WSELTNVR41QI7N4WUPFKQ09YWSTA2""",0,"""Approved""","""Sat Apr 28 02:33:35 PDT 2018""","""Fri Apr 27 09:51:33 PDT 2018""","""Fri Apr 27 09:53:35 PDT 2018""","""Sat Apr 28 02:33:39 PDT 2018""","""""","""""","""""","""""","""[]""","""\""4fillerspacing\""""","""\""or_andprime\""""","""1.9382666666666666"""
"9",0,"""one_slider""","""filler""",0.22,"""English""","""1""","""Female""","""24""","""no""","""Sentence STructure and meaning ""","""Yes""",""".20""","""3""","""Windows""",1080,1920,"""Chrome""","""3TLFH2L6Y9NYQKU6TDRYQPMOEKG2TL""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.15""","""Fri Apr 27 09:51:12 PDT 2018""","""120""","""0""","""0""","""120""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun May 27 09:51:12 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3TLFH2L6Y9NYQKU6TDRYQPMOEKG2TL""","""3WSELTNVR41QI7N4WUPFKQ09YWSTA2""",0,"""Approved""","""Sat Apr 28 02:33:35 PDT 2018""","""Fri Apr 27 09:51:33 PDT 2018""","""Fri Apr 27 09:53:35 PDT 2018""","""Sat Apr 28 02:33:39 PDT 2018""","""""","""""","""""","""""","""[]""","""\""4fillerspacing\""""","""\""or_andprime\""""","""1.9382666666666666"""
"10",0,"""one_slider""","""crit""",0.95,"""English""","""1""","""Female""","""24""","""no""","""Sentence STructure and meaning ""","""Yes""",""".20""","""3""","""Windows""",1080,1920,"""Chrome""","""3TLFH2L6Y9NYQKU6TDRYQPMOEKG2TL""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.15""","""Fri Apr 27 09:51:12 PDT 2018""","""120""","""0""","""0""","""120""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun May 27 09:51:12 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3TLFH2L6Y9NYQKU6TDRYQPMOEKG2TL""","""3WSELTNVR41QI7N4WUPFKQ09YWSTA2""",0,"""Approved""","""Sat Apr 28 02:33:35 PDT 2018""","""Fri Apr 27 09:51:33 PDT 2018""","""Fri Apr 27 09:53:35 PDT 2018""","""Sat Apr 28 02:33:39 PDT 2018""","""""","""""","""""","""""","""[]""","""\""4fillerspacing\""""","""\""or_andprime\""""","""1.9382666666666666"""
