"","workerid","trial_type","type","response","id","language","enjoyment","gender","age","problems","comments","asses","fairprice","education","OS","screenH","screenW","Browser","hitid","hittypeid","title","description","keywords","reward","creationtime","assignments","numavailable","numpending","numcomplete","hitstatus","reviewstatus","annotation","assignmentduration","autoapprovaldelay","hitlifetime","viewhit","assignmentid","workerid.1","assignmentstatus","autoapprovaltime","assignmentaccepttime","assignmentsubmittime","assignmentapprovaltime","assignmentrejecttime","deadline","feedback","reject","Answer.catch_trials","Answer.condition","Answer.time_in_minutes"
"1",0,"""one_slider""","""filler""",1,2,"""English""","""1""","""Female""","""23""","""no""","""""","""Yes""",""".20""","""2""","""Windows""",1080,1920,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""3VJ40NV2QJMFKBH56DUXLLKEQWXOT2""",0,"""Approved""","""Fri May 18 22:13:54 PDT 2018""","""Fri May 18 05:32:47 PDT 2018""","""Fri May 18 05:33:54 PDT 2018""","""Fri May 18 22:13:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_eitherorprime\""""","""0.9335833333333333"""
"2",0,"""one_slider""","""prime""",1,2,"""English""","""1""","""Female""","""23""","""no""","""""","""Yes""",""".20""","""2""","""Windows""",1080,1920,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""3VJ40NV2QJMFKBH56DUXLLKEQWXOT2""",0,"""Approved""","""Fri May 18 22:13:54 PDT 2018""","""Fri May 18 05:32:47 PDT 2018""","""Fri May 18 05:33:54 PDT 2018""","""Fri May 18 22:13:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_eitherorprime\""""","""0.9335833333333333"""
"3",0,"""one_slider""","""prime""",1,1,"""English""","""1""","""Female""","""23""","""no""","""""","""Yes""",""".20""","""2""","""Windows""",1080,1920,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""3VJ40NV2QJMFKBH56DUXLLKEQWXOT2""",0,"""Approved""","""Fri May 18 22:13:54 PDT 2018""","""Fri May 18 05:32:47 PDT 2018""","""Fri May 18 05:33:54 PDT 2018""","""Fri May 18 22:13:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_eitherorprime\""""","""0.9335833333333333"""
"4",0,"""one_slider""","""filler""",0.12,1,"""English""","""1""","""Female""","""23""","""no""","""""","""Yes""",""".20""","""2""","""Windows""",1080,1920,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""3VJ40NV2QJMFKBH56DUXLLKEQWXOT2""",0,"""Approved""","""Fri May 18 22:13:54 PDT 2018""","""Fri May 18 05:32:47 PDT 2018""","""Fri May 18 05:33:54 PDT 2018""","""Fri May 18 22:13:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_eitherorprime\""""","""0.9335833333333333"""
"5",0,"""one_slider""","""prime""",1,4,"""English""","""1""","""Female""","""23""","""no""","""""","""Yes""",""".20""","""2""","""Windows""",1080,1920,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""3VJ40NV2QJMFKBH56DUXLLKEQWXOT2""",0,"""Approved""","""Fri May 18 22:13:54 PDT 2018""","""Fri May 18 05:32:47 PDT 2018""","""Fri May 18 05:33:54 PDT 2018""","""Fri May 18 22:13:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_eitherorprime\""""","""0.9335833333333333"""
"6",0,"""one_slider""","""prime""",1,3,"""English""","""1""","""Female""","""23""","""no""","""""","""Yes""",""".20""","""2""","""Windows""",1080,1920,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""3VJ40NV2QJMFKBH56DUXLLKEQWXOT2""",0,"""Approved""","""Fri May 18 22:13:54 PDT 2018""","""Fri May 18 05:32:47 PDT 2018""","""Fri May 18 05:33:54 PDT 2018""","""Fri May 18 22:13:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_eitherorprime\""""","""0.9335833333333333"""
"7",0,"""one_slider""","""crit""",1,1,"""English""","""1""","""Female""","""23""","""no""","""""","""Yes""",""".20""","""2""","""Windows""",1080,1920,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""3VJ40NV2QJMFKBH56DUXLLKEQWXOT2""",0,"""Approved""","""Fri May 18 22:13:54 PDT 2018""","""Fri May 18 05:32:47 PDT 2018""","""Fri May 18 05:33:54 PDT 2018""","""Fri May 18 22:13:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_eitherorprime\""""","""0.9335833333333333"""
"8",1,"""one_slider""","""prime""",0.53,2,"""english""","""1""","""Male""","""38""","""""","""""","""Yes""","""0.5""","""3""","""Windows""",720,1280,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""37XITHEISX81V77ACJGBQ6PFDXHRCV""",1,"""Approved""","""Fri May 18 22:13:55 PDT 2018""","""Fri May 18 05:33:04 PDT 2018""","""Fri May 18 05:33:55 PDT 2018""","""Fri May 18 22:14:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_eitherorprime\""""","""0.6746333333333333"""
"9",1,"""one_slider""","""prime""",0.54,1,"""english""","""1""","""Male""","""38""","""""","""""","""Yes""","""0.5""","""3""","""Windows""",720,1280,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""37XITHEISX81V77ACJGBQ6PFDXHRCV""",1,"""Approved""","""Fri May 18 22:13:55 PDT 2018""","""Fri May 18 05:33:04 PDT 2018""","""Fri May 18 05:33:55 PDT 2018""","""Fri May 18 22:14:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_eitherorprime\""""","""0.6746333333333333"""
"10",1,"""one_slider""","""prime""",0.57,3,"""english""","""1""","""Male""","""38""","""""","""""","""Yes""","""0.5""","""3""","""Windows""",720,1280,"""Chrome""","""3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Fri May 18 05:32:32 PDT 2018""","""88""","""0""","""0""","""88""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Jun 17 05:32:32 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3H6W48L9F4OMA8Z6QG7L9M1GUPOPWM""","""37XITHEISX81V77ACJGBQ6PFDXHRCV""",1,"""Approved""","""Fri May 18 22:13:55 PDT 2018""","""Fri May 18 05:33:04 PDT 2018""","""Fri May 18 05:33:55 PDT 2018""","""Fri May 18 22:14:55 PDT 2018""","""""","""""","""""","""""","""[]""","""\""or_eitherorprime\""""","""0.6746333333333333"""
