workerid,trial_type,target,response,primetype,error,order,type,id,inference_question,language,enjoyment,gender,age,problems,comments,asses,fairprice,education,OS,screenH,screenW,Browser,feedback,assignments,workerid,creationtime,Answer.time_in_minutes,deadline,viewhit,keywords,assignmentduration,title,assignmentapprovaltime,Answer.catch_trials,reject,assignmentstatus,hitlifetime,numpending,description,assignmentid,assignmentaccepttime,numavailable,numcomplete,assignmentsubmittime,annotation,reviewstatus,autoapprovaltime,hitstatus,autoapprovaldelay,hittypeid,assignmentrejecttime,Answer.list,reward,hitid
0,"""practice_trial""","""na""",0.07,"""na""",false,1,"""filler""","""low_right""",NA,"""English""","""1""","""Male""","""24""","""""","""""","""Yes""","""0.20""","""1""","""Windows""",1080,1920,"""Chrome""","""""","""160""",0,"""Thu Aug 02 13:07:44 CDT 2018""","""0.6896833333333333""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3PH3VY7DJMWJBWZ63RAPO3ZIZEEWZQ""","""Thu Aug 02 13:09:31 CDT 2018""","""0""","""0""","""Thu Aug 02 13:10:46 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:50:46 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list3\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
0,"""practice_trial""","""na""",1,"""na""",false,2,"""filler""","""high_right""",NA,"""English""","""1""","""Male""","""24""","""""","""""","""Yes""","""0.20""","""1""","""Windows""",1080,1920,"""Chrome""","""""","""160""",0,"""Thu Aug 02 13:07:44 CDT 2018""","""0.6896833333333333""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3PH3VY7DJMWJBWZ63RAPO3ZIZEEWZQ""","""Thu Aug 02 13:09:31 CDT 2018""","""0""","""0""","""Thu Aug 02 13:10:46 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:50:46 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list3\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
0,"""one_slider""","""some""",0.89,"""notall""",NA,3,"""crit""","""girls""","""upperbounded""","""English""","""1""","""Male""","""24""","""""","""""","""Yes""","""0.20""","""1""","""Windows""",1080,1920,"""Chrome""","""""","""160""",0,"""Thu Aug 02 13:07:44 CDT 2018""","""0.6896833333333333""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3PH3VY7DJMWJBWZ63RAPO3ZIZEEWZQ""","""Thu Aug 02 13:09:31 CDT 2018""","""0""","""0""","""Thu Aug 02 13:10:46 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:50:46 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list3\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
1,"""practice_trial""","""na""",0,"""na""",false,1,"""filler""","""low_right""",NA,"""English""","""1""","""Female""","""26""","""Nothing I noticed.""","""Perception of certain types of phrasing.""","""Yes""","""More or less.""","""2""","""Windows""",1080,1920,"""Chrome""","""""","""160""",1,"""Thu Aug 02 13:07:44 CDT 2018""","""1.4248""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3300DTYQT3GGG4COVVX6B4GEN7PEQZ""","""Thu Aug 02 13:09:34 CDT 2018""","""0""","""0""","""Thu Aug 02 13:11:26 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:51:26 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list3\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
1,"""practice_trial""","""na""",1,"""na""",false,2,"""filler""","""high_right""",NA,"""English""","""1""","""Female""","""26""","""Nothing I noticed.""","""Perception of certain types of phrasing.""","""Yes""","""More or less.""","""2""","""Windows""",1080,1920,"""Chrome""","""""","""160""",1,"""Thu Aug 02 13:07:44 CDT 2018""","""1.4248""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3300DTYQT3GGG4COVVX6B4GEN7PEQZ""","""Thu Aug 02 13:09:34 CDT 2018""","""0""","""0""","""Thu Aug 02 13:11:26 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:51:26 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list3\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
1,"""one_slider""","""some""",1,"""notall""",NA,3,"""crit""","""girls""","""upperbounded""","""English""","""1""","""Female""","""26""","""Nothing I noticed.""","""Perception of certain types of phrasing.""","""Yes""","""More or less.""","""2""","""Windows""",1080,1920,"""Chrome""","""""","""160""",1,"""Thu Aug 02 13:07:44 CDT 2018""","""1.4248""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3300DTYQT3GGG4COVVX6B4GEN7PEQZ""","""Thu Aug 02 13:09:34 CDT 2018""","""0""","""0""","""Thu Aug 02 13:11:26 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:51:26 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list3\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
2,"""practice_trial""","""na""",0.03,"""na""",false,1,"""filler""","""low_right""",NA,"""English""","""2""","""Female""","""55""","""""","""""","""Yes""","""""","""2""","""Windows""",768,1366,"""Chrome""","""""","""160""",2,"""Thu Aug 02 13:07:44 CDT 2018""","""1.2323166666666667""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3QY7M81QH8L9WMZJVIZ398CO2ETK7R""","""Thu Aug 02 13:10:18 CDT 2018""","""0""","""0""","""Thu Aug 02 13:11:36 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:51:36 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list2\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
2,"""practice_trial""","""na""",1,"""na""",false,2,"""filler""","""high_right""",NA,"""English""","""2""","""Female""","""55""","""""","""""","""Yes""","""""","""2""","""Windows""",768,1366,"""Chrome""","""""","""160""",2,"""Thu Aug 02 13:07:44 CDT 2018""","""1.2323166666666667""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3QY7M81QH8L9WMZJVIZ398CO2ETK7R""","""Thu Aug 02 13:10:18 CDT 2018""","""0""","""0""","""Thu Aug 02 13:11:36 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:51:36 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list2\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
2,"""one_slider""","""some""",0.98,"""none""",NA,3,"""crit""","""girls""","""upperbounded""","""English""","""2""","""Female""","""55""","""""","""""","""Yes""","""""","""2""","""Windows""",768,1366,"""Chrome""","""""","""160""",2,"""Thu Aug 02 13:07:44 CDT 2018""","""1.2323166666666667""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3QY7M81QH8L9WMZJVIZ398CO2ETK7R""","""Thu Aug 02 13:10:18 CDT 2018""","""0""","""0""","""Thu Aug 02 13:11:36 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:51:36 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list2\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
3,"""practice_trial""","""na""",0.01,"""na""",false,1,"""filler""","""low_right""",NA,"""English""","""1""","""Female""","""57""","""no""","""english inference?""","""Yes""",""".18""","""2""","""Linux""",768,1366,"""Chrome""","""""","""160""",3,"""Thu Aug 02 13:07:44 CDT 2018""","""1.49695""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=3VP28W7DUNJEDQFHN0VNWWHUFYFZFP""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""""","""[]""","""""","""Submitted""","""Sat Sep 01 13:07:44 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3YT88D1N09XRV3YWT6WDWR08XC7K3M""","""Thu Aug 02 13:10:05 CDT 2018""","""0""","""0""","""Thu Aug 02 13:11:41 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Aug 03 05:51:41 CDT 2018""","""Reviewable""","""60000""","""32K57UXCKKL823J33RWQPRDG8NOU8F""","""""","""\""list3\""""","""$0.15""","""3VP28W7DUNJEDQFHN0VNWWHUFYFZFP"""
