workerid,trial_type,response,error,order,type,id,language,enjoyment,gender,age,problems,comments,asses,fairprice,education,OS,screenH,screenW,Browser,feedback,assignments,workerid,creationtime,Answer.condition,deadline,viewhit,keywords,assignmentduration,title,assignmentapprovaltime,Answer.catch_trials,reject,assignmentstatus,hitlifetime,numpending,description,assignmentid,assignmentaccepttime,numavailable,numcomplete,assignmentsubmittime,annotation,reviewstatus,autoapprovaltime,Answer.time_in_minutes,hitstatus,autoapprovaldelay,hittypeid,assignmentrejecttime,reward,hitid
0,"""practice_trial""",0.21,false,1,"""filler""","""low_right""","""English""","""2""","""""","""29""","""no""","""Decisions""","""Yes""","""0.30""","""3""","""Windows""",768,1366,"""Chrome""","""""","""90""",0,"""Thu Jun 21 10:57:35 CDT 2018""","""\""orprime_and\""""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=39O0SQZVJN6SW6EKV03YM12E54MR7C""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Fri Jun 22 03:40:00 CDT 2018""","""[]""","""""","""Approved""","""Sat Jul 21 10:57:35 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3WLEIWSYHPGB8V15JLFB0PENP0J2HU""","""Thu Jun 21 10:57:50 CDT 2018""","""0""","""90""","""Thu Jun 21 10:59:33 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Jun 22 03:39:33 CDT 2018""","""1.48955""","""Reviewable""","""60000""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""""","""$0.20""","""39O0SQZVJN6SW6EKV03YM12E54MR7C"""
0,"""practice_trial""",0.93,false,2,"""filler""","""high_right""","""English""","""2""","""""","""29""","""no""","""Decisions""","""Yes""","""0.30""","""3""","""Windows""",768,1366,"""Chrome""","""""","""90""",0,"""Thu Jun 21 10:57:35 CDT 2018""","""\""orprime_and\""""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=39O0SQZVJN6SW6EKV03YM12E54MR7C""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Fri Jun 22 03:40:00 CDT 2018""","""[]""","""""","""Approved""","""Sat Jul 21 10:57:35 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3WLEIWSYHPGB8V15JLFB0PENP0J2HU""","""Thu Jun 21 10:57:50 CDT 2018""","""0""","""90""","""Thu Jun 21 10:59:33 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Jun 22 03:39:33 CDT 2018""","""1.48955""","""Reviewable""","""60000""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""""","""$0.20""","""39O0SQZVJN6SW6EKV03YM12E54MR7C"""
0,"""one_slider""",0.89,NA,3,"""prime""","""party""","""English""","""2""","""""","""29""","""no""","""Decisions""","""Yes""","""0.30""","""3""","""Windows""",768,1366,"""Chrome""","""""","""90""",0,"""Thu Jun 21 10:57:35 CDT 2018""","""\""orprime_and\""""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=39O0SQZVJN6SW6EKV03YM12E54MR7C""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Fri Jun 22 03:40:00 CDT 2018""","""[]""","""""","""Approved""","""Sat Jul 21 10:57:35 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3WLEIWSYHPGB8V15JLFB0PENP0J2HU""","""Thu Jun 21 10:57:50 CDT 2018""","""0""","""90""","""Thu Jun 21 10:59:33 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Jun 22 03:39:33 CDT 2018""","""1.48955""","""Reviewable""","""60000""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""""","""$0.20""","""39O0SQZVJN6SW6EKV03YM12E54MR7C"""
0,"""one_slider""",0.9,NA,4,"""prime""","""dealership""","""English""","""2""","""""","""29""","""no""","""Decisions""","""Yes""","""0.30""","""3""","""Windows""",768,1366,"""Chrome""","""""","""90""",0,"""Thu Jun 21 10:57:35 CDT 2018""","""\""orprime_and\""""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=39O0SQZVJN6SW6EKV03YM12E54MR7C""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Fri Jun 22 03:40:00 CDT 2018""","""[]""","""""","""Approved""","""Sat Jul 21 10:57:35 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3WLEIWSYHPGB8V15JLFB0PENP0J2HU""","""Thu Jun 21 10:57:50 CDT 2018""","""0""","""90""","""Thu Jun 21 10:59:33 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Jun 22 03:39:33 CDT 2018""","""1.48955""","""Reviewable""","""60000""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""""","""$0.20""","""39O0SQZVJN6SW6EKV03YM12E54MR7C"""
0,"""one_slider""",0.9,NA,5,"""prime""","""mail""","""English""","""2""","""""","""29""","""no""","""Decisions""","""Yes""","""0.30""","""3""","""Windows""",768,1366,"""Chrome""","""""","""90""",0,"""Thu Jun 21 10:57:35 CDT 2018""","""\""orprime_and\""""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=39O0SQZVJN6SW6EKV03YM12E54MR7C""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Fri Jun 22 03:40:00 CDT 2018""","""[]""","""""","""Approved""","""Sat Jul 21 10:57:35 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3WLEIWSYHPGB8V15JLFB0PENP0J2HU""","""Thu Jun 21 10:57:50 CDT 2018""","""0""","""90""","""Thu Jun 21 10:59:33 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Jun 22 03:39:33 CDT 2018""","""1.48955""","""Reviewable""","""60000""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""""","""$0.20""","""39O0SQZVJN6SW6EKV03YM12E54MR7C"""
0,"""one_slider""",0.94,NA,6,"""prime""","""birthday""","""English""","""2""","""""","""29""","""no""","""Decisions""","""Yes""","""0.30""","""3""","""Windows""",768,1366,"""Chrome""","""""","""90""",0,"""Thu Jun 21 10:57:35 CDT 2018""","""\""orprime_and\""""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=39O0SQZVJN6SW6EKV03YM12E54MR7C""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Fri Jun 22 03:40:00 CDT 2018""","""[]""","""""","""Approved""","""Sat Jul 21 10:57:35 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3WLEIWSYHPGB8V15JLFB0PENP0J2HU""","""Thu Jun 21 10:57:50 CDT 2018""","""0""","""90""","""Thu Jun 21 10:59:33 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Jun 22 03:39:33 CDT 2018""","""1.48955""","""Reviewable""","""60000""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""""","""$0.20""","""39O0SQZVJN6SW6EKV03YM12E54MR7C"""
0,"""one_slider""",0.06,NA,7,"""crit""","""inherit""","""English""","""2""","""""","""29""","""no""","""Decisions""","""Yes""","""0.30""","""3""","""Windows""",768,1366,"""Chrome""","""""","""90""",0,"""Thu Jun 21 10:57:35 CDT 2018""","""\""orprime_and\""""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=39O0SQZVJN6SW6EKV03YM12E54MR7C""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Fri Jun 22 03:40:00 CDT 2018""","""[]""","""""","""Approved""","""Sat Jul 21 10:57:35 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3WLEIWSYHPGB8V15JLFB0PENP0J2HU""","""Thu Jun 21 10:57:50 CDT 2018""","""0""","""90""","""Thu Jun 21 10:59:33 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Jun 22 03:39:33 CDT 2018""","""1.48955""","""Reviewable""","""60000""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""""","""$0.20""","""39O0SQZVJN6SW6EKV03YM12E54MR7C"""
1,"""practice_trial""",0.04,false,1,"""filler""","""low_right""","""English""","""2""","""Female""","""67""","""No""","""Perceptions related to intended meaning""","""Yes""","""Yes""","""2""","""Windows""",720,1280,"""Chrome""","""""","""90""",1,"""Thu Jun 21 10:57:35 CDT 2018""","""\""orprime_either\""""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=39O0SQZVJN6SW6EKV03YM12E54MR7C""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Fri Jun 22 03:41:00 CDT 2018""","""[]""","""""","""Approved""","""Sat Jul 21 10:57:35 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3U84XHCDIDC72UGMTL46TBFQ54W4ZI""","""Thu Jun 21 10:57:49 CDT 2018""","""0""","""90""","""Thu Jun 21 11:00:02 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Jun 22 03:40:02 CDT 2018""","""2.1206666666666667""","""Reviewable""","""60000""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""""","""$0.20""","""39O0SQZVJN6SW6EKV03YM12E54MR7C"""
1,"""practice_trial""",0.99,false,2,"""filler""","""high_right""","""English""","""2""","""Female""","""67""","""No""","""Perceptions related to intended meaning""","""Yes""","""Yes""","""2""","""Windows""",720,1280,"""Chrome""","""""","""90""",1,"""Thu Jun 21 10:57:35 CDT 2018""","""\""orprime_either\""""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=39O0SQZVJN6SW6EKV03YM12E54MR7C""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Fri Jun 22 03:41:00 CDT 2018""","""[]""","""""","""Approved""","""Sat Jul 21 10:57:35 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3U84XHCDIDC72UGMTL46TBFQ54W4ZI""","""Thu Jun 21 10:57:49 CDT 2018""","""0""","""90""","""Thu Jun 21 11:00:02 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Jun 22 03:40:02 CDT 2018""","""2.1206666666666667""","""Reviewable""","""60000""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""""","""$0.20""","""39O0SQZVJN6SW6EKV03YM12E54MR7C"""
1,"""one_slider""",1,NA,3,"""prime""","""dealership""","""English""","""2""","""Female""","""67""","""No""","""Perceptions related to intended meaning""","""Yes""","""Yes""","""2""","""Windows""",720,1280,"""Chrome""","""""","""90""",1,"""Thu Jun 21 10:57:35 CDT 2018""","""\""orprime_either\""""","""""","""https://requester.mturk.com/mturk/manageHIT?HITId=39O0SQZVJN6SW6EKV03YM12E54MR7C""","""language research stanford fun cognitive science university explanations""","""1800""","""Participate in a Linguistics Experiment!""","""Fri Jun 22 03:41:00 CDT 2018""","""[]""","""""","""Approved""","""Sat Jul 21 10:57:35 CDT 2018""","""0""","""Provide your judgments about sentences of English.""","""3U84XHCDIDC72UGMTL46TBFQ54W4ZI""","""Thu Jun 21 10:57:49 CDT 2018""","""0""","""90""","""Thu Jun 21 11:00:02 CDT 2018""","""1 cond""","""NotReviewed""","""Fri Jun 22 03:40:02 CDT 2018""","""2.1206666666666667""","""Reviewable""","""60000""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""""","""$0.20""","""39O0SQZVJN6SW6EKV03YM12E54MR7C"""
