"","workerid","trial_type","type","response","language","enjoyment","gender","age","problems","comments","asses","fairprice","education","OS","screenH","screenW","Browser","hitid","hittypeid","title","description","keywords","reward","creationtime","assignments","numavailable","numpending","numcomplete","hitstatus","reviewstatus","annotation","assignmentduration","autoapprovaldelay","hitlifetime","viewhit","assignmentid","workerid.1","assignmentstatus","autoapprovaltime","assignmentaccepttime","assignmentsubmittime","assignmentapprovaltime","assignmentrejecttime","deadline","feedback","reject","Answer.catch_trials","Answer.order","Answer.condition","Answer.time_in_minutes"
"1",0,"""one_slider""","""filler""",0.58,"""English""","""0""","""Male""","""23""","""""","""""","""No""",""".4""","""3""","""Windows""",1080,2560,"""Chrome""","""3GS542CVJVM7524FDQOFXWOO5NK95A""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Thu May 17 11:29:16 PDT 2018""","""88""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 16 11:29:16 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3GS542CVJVM7524FDQOFXWOO5NK95A""","""32SVAV9L3G8LJQPAHFJO2DWB7BL3AW""",0,"""Submitted""","""Fri May 18 04:10:09 PDT 2018""","""Thu May 17 11:29:28 PDT 2018""","""Thu May 17 11:30:09 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""4fillerspacing\""""","""\""or_andprime\""""","""0.6089166666666667"""
"2",0,"""one_slider""","""filler""",0.67,"""English""","""0""","""Male""","""23""","""""","""""","""No""",""".4""","""3""","""Windows""",1080,2560,"""Chrome""","""3GS542CVJVM7524FDQOFXWOO5NK95A""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Thu May 17 11:29:16 PDT 2018""","""88""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 16 11:29:16 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3GS542CVJVM7524FDQOFXWOO5NK95A""","""32SVAV9L3G8LJQPAHFJO2DWB7BL3AW""",0,"""Submitted""","""Fri May 18 04:10:09 PDT 2018""","""Thu May 17 11:29:28 PDT 2018""","""Thu May 17 11:30:09 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""4fillerspacing\""""","""\""or_andprime\""""","""0.6089166666666667"""
"3",0,"""one_slider""","""filler""",0.58,"""English""","""0""","""Male""","""23""","""""","""""","""No""",""".4""","""3""","""Windows""",1080,2560,"""Chrome""","""3GS542CVJVM7524FDQOFXWOO5NK95A""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Thu May 17 11:29:16 PDT 2018""","""88""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 16 11:29:16 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3GS542CVJVM7524FDQOFXWOO5NK95A""","""32SVAV9L3G8LJQPAHFJO2DWB7BL3AW""",0,"""Submitted""","""Fri May 18 04:10:09 PDT 2018""","""Thu May 17 11:29:28 PDT 2018""","""Thu May 17 11:30:09 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""4fillerspacing\""""","""\""or_andprime\""""","""0.6089166666666667"""
"4",0,"""one_slider""","""filler""",0.52,"""English""","""0""","""Male""","""23""","""""","""""","""No""",""".4""","""3""","""Windows""",1080,2560,"""Chrome""","""3GS542CVJVM7524FDQOFXWOO5NK95A""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Thu May 17 11:29:16 PDT 2018""","""88""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 16 11:29:16 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3GS542CVJVM7524FDQOFXWOO5NK95A""","""32SVAV9L3G8LJQPAHFJO2DWB7BL3AW""",0,"""Submitted""","""Fri May 18 04:10:09 PDT 2018""","""Thu May 17 11:29:28 PDT 2018""","""Thu May 17 11:30:09 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""4fillerspacing\""""","""\""or_andprime\""""","""0.6089166666666667"""
"5",0,"""one_slider""","""prime""",0.49,"""English""","""0""","""Male""","""23""","""""","""""","""No""",""".4""","""3""","""Windows""",1080,2560,"""Chrome""","""3GS542CVJVM7524FDQOFXWOO5NK95A""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Thu May 17 11:29:16 PDT 2018""","""88""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 16 11:29:16 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3GS542CVJVM7524FDQOFXWOO5NK95A""","""32SVAV9L3G8LJQPAHFJO2DWB7BL3AW""",0,"""Submitted""","""Fri May 18 04:10:09 PDT 2018""","""Thu May 17 11:29:28 PDT 2018""","""Thu May 17 11:30:09 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""4fillerspacing\""""","""\""or_andprime\""""","""0.6089166666666667"""
"6",0,"""one_slider""","""filler""",0.71,"""English""","""0""","""Male""","""23""","""""","""""","""No""",""".4""","""3""","""Windows""",1080,2560,"""Chrome""","""3GS542CVJVM7524FDQOFXWOO5NK95A""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Thu May 17 11:29:16 PDT 2018""","""88""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 16 11:29:16 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3GS542CVJVM7524FDQOFXWOO5NK95A""","""32SVAV9L3G8LJQPAHFJO2DWB7BL3AW""",0,"""Submitted""","""Fri May 18 04:10:09 PDT 2018""","""Thu May 17 11:29:28 PDT 2018""","""Thu May 17 11:30:09 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""4fillerspacing\""""","""\""or_andprime\""""","""0.6089166666666667"""
"7",0,"""one_slider""","""filler""",0.75,"""English""","""0""","""Male""","""23""","""""","""""","""No""",""".4""","""3""","""Windows""",1080,2560,"""Chrome""","""3GS542CVJVM7524FDQOFXWOO5NK95A""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Thu May 17 11:29:16 PDT 2018""","""88""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 16 11:29:16 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3GS542CVJVM7524FDQOFXWOO5NK95A""","""32SVAV9L3G8LJQPAHFJO2DWB7BL3AW""",0,"""Submitted""","""Fri May 18 04:10:09 PDT 2018""","""Thu May 17 11:29:28 PDT 2018""","""Thu May 17 11:30:09 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""4fillerspacing\""""","""\""or_andprime\""""","""0.6089166666666667"""
"8",0,"""one_slider""","""filler""",0.73,"""English""","""0""","""Male""","""23""","""""","""""","""No""",""".4""","""3""","""Windows""",1080,2560,"""Chrome""","""3GS542CVJVM7524FDQOFXWOO5NK95A""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Thu May 17 11:29:16 PDT 2018""","""88""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 16 11:29:16 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3GS542CVJVM7524FDQOFXWOO5NK95A""","""32SVAV9L3G8LJQPAHFJO2DWB7BL3AW""",0,"""Submitted""","""Fri May 18 04:10:09 PDT 2018""","""Thu May 17 11:29:28 PDT 2018""","""Thu May 17 11:30:09 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""4fillerspacing\""""","""\""or_andprime\""""","""0.6089166666666667"""
"9",0,"""one_slider""","""filler""",0.34,"""English""","""0""","""Male""","""23""","""""","""""","""No""",""".4""","""3""","""Windows""",1080,2560,"""Chrome""","""3GS542CVJVM7524FDQOFXWOO5NK95A""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Thu May 17 11:29:16 PDT 2018""","""88""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 16 11:29:16 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3GS542CVJVM7524FDQOFXWOO5NK95A""","""32SVAV9L3G8LJQPAHFJO2DWB7BL3AW""",0,"""Submitted""","""Fri May 18 04:10:09 PDT 2018""","""Thu May 17 11:29:28 PDT 2018""","""Thu May 17 11:30:09 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""4fillerspacing\""""","""\""or_andprime\""""","""0.6089166666666667"""
"10",0,"""one_slider""","""crit""",0.55,"""English""","""0""","""Male""","""23""","""""","""""","""No""",""".4""","""3""","""Windows""",1080,2560,"""Chrome""","""3GS542CVJVM7524FDQOFXWOO5NK95A""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Thu May 17 11:29:16 PDT 2018""","""88""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 16 11:29:16 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3GS542CVJVM7524FDQOFXWOO5NK95A""","""32SVAV9L3G8LJQPAHFJO2DWB7BL3AW""",0,"""Submitted""","""Fri May 18 04:10:09 PDT 2018""","""Thu May 17 11:29:28 PDT 2018""","""Thu May 17 11:30:09 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""4fillerspacing\""""","""\""or_andprime\""""","""0.6089166666666667"""
"11",1,"""one_slider""","""filler""",0,"""english""","""2""","""Male""","""29""","""no""","""sentence reading""","""Yes""","""45""","""3""","""Windows""",768,1360,"""Chrome""","""3GS542CVJVM7524FDQOFXWOO5NK95A""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Thu May 17 11:29:16 PDT 2018""","""88""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 16 11:29:16 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3GS542CVJVM7524FDQOFXWOO5NK95A""","""3MYYFCXHJ467BDLH3TGH84ZKJ6UG46""",1,"""Submitted""","""Fri May 18 04:10:42 PDT 2018""","""Thu May 17 11:29:32 PDT 2018""","""Thu May 17 11:30:42 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""nofillerspacing\""""","""\""or_noprime\""""","""1.1135"""
"12",1,"""one_slider""","""filler""",0.45,"""english""","""2""","""Male""","""29""","""no""","""sentence reading""","""Yes""","""45""","""3""","""Windows""",768,1360,"""Chrome""","""3GS542CVJVM7524FDQOFXWOO5NK95A""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Thu May 17 11:29:16 PDT 2018""","""88""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 16 11:29:16 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3GS542CVJVM7524FDQOFXWOO5NK95A""","""3MYYFCXHJ467BDLH3TGH84ZKJ6UG46""",1,"""Submitted""","""Fri May 18 04:10:42 PDT 2018""","""Thu May 17 11:29:32 PDT 2018""","""Thu May 17 11:30:42 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""nofillerspacing\""""","""\""or_noprime\""""","""1.1135"""
"13",1,"""one_slider""","""filler""",0.92,"""english""","""2""","""Male""","""29""","""no""","""sentence reading""","""Yes""","""45""","""3""","""Windows""",768,1360,"""Chrome""","""3GS542CVJVM7524FDQOFXWOO5NK95A""","""373MH2DFEYZMZFBQ6491XEERMLCBHZ""","""Participate in a Linguistics Experiment!""","""Provide your judgments about sentences of English.""","""language research stanford fun cognitive science university explanations""","""$0.20""","""Thu May 17 11:29:16 PDT 2018""","""88""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Jun 16 11:29:16 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3GS542CVJVM7524FDQOFXWOO5NK95A""","""3MYYFCXHJ467BDLH3TGH84ZKJ6UG46""",1,"""Submitted""","""Fri May 18 04:10:42 PDT 2018""","""Thu May 17 11:29:32 PDT 2018""","""Thu May 17 11:30:42 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""\""nofillerspacing\""""","""\""or_noprime\""""","""1.1135"""
